obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('51',)",3.49867010117,29,13,1026.74416725,29,13,14,3779218469.04,3779218539.23,3772425005.87,44.63218,-124.30797,0.0,internal_timestamp,69.3300018311,29,29,1563436205.87,33.8745002747,29,29,0,7.77089977264,29,29,3772425005.87
"('52',)",3.49865007401,29,13,1026.74438694,29,13,14,3779218469.04,3779218539.23,3772425005.93,44.63218,-124.30797,0.0,internal_timestamp,69.3280029297,29,29,1563436205.93,33.8746986389,29,29,0,7.7704000473,29,29,3772425005.93
"('53',)",3.49864006042,29,13,1026.74424406,29,13,14,3779218469.04,3779218539.23,3772425006.0,44.63218,-124.30797,0.0,internal_timestamp,69.3339996338,29,29,1563436206.0,33.8745002747,29,29,0,7.77050018311,29,29,3772425006.0
"('54',)",3.49863004684,29,13,1026.74378772,29,13,14,3779218469.04,3779218539.23,3772425006.06,44.63218,-124.30797,0.0,internal_timestamp,69.3359985352,29,29,1563436206.06,33.8740005493,29,29,0,7.77099990845,29,29,3772425006.06
"('55',)",3.49863004684,29,13,1026.7433497,29,13,14,3779218469.04,3779218539.23,3772425006.12,44.63218,-124.30797,0.0,internal_timestamp,69.3420028687,29,29,1563436206.12,33.873500824,29,29,0,7.77150011063,29,29,3772425006.12
"('56',)",3.49863004684,29,13,1026.74318095,29,13,14,3779218469.04,3779218539.23,3772425006.18,44.63218,-124.30797,0.0,internal_timestamp,69.3430023193,29,29,1563436206.18,33.873298645,29,29,0,7.77159976959,29,29,3772425006.18
"('57',)",3.49863004684,29,13,1026.74318554,29,13,14,3779218469.04,3779218539.23,3772425006.25,44.63218,-124.30797,0.0,internal_timestamp,69.34400177,29,29,1563436206.25,33.873298645,29,29,0,7.77159976959,29,29,3772425006.25
"('58',)",3.49864006042,29,13,1026.74335888,29,13,14,3779218469.04,3779218539.23,3772425006.31,44.63218,-124.30797,0.0,internal_timestamp,69.34400177,29,29,1563436206.31,33.873500824,29,29,0,7.77150011063,29,29,3772425006.31
"('59',)",3.49865007401,29,13,1026.74328388,29,13,14,3779218469.04,3779218539.23,3772425006.37,44.63218,-124.30797,0.0,internal_timestamp,69.3509979248,29,29,1563436206.37,33.8734016418,29,29,0,7.7716999054,29,29,3772425006.37
"('60',)",3.49867010117,29,13,1026.74289077,29,13,14,3779218469.04,3779218539.23,3772425006.43,44.63218,-124.30797,0.0,internal_timestamp,69.3529968262,29,29,1563436206.43,33.8730010986,29,29,0,7.77229976654,29,29,3772425006.43
"('61',)",3.49868988991,29,13,1026.74229037,29,13,14,3779218469.04,3779218539.24,3772425006.5,44.63218,-124.30797,0.0,internal_timestamp,69.3539962769,29,29,1563436206.5,33.8723983765,29,29,0,7.7732000351,29,29,3772425006.5
"('62',)",3.49869990349,29,13,1026.74173146,29,13,14,3779218469.04,3779218539.24,3772425006.56,44.63218,-124.30797,0.0,internal_timestamp,69.3570022583,29,29,1563436206.56,33.871799469,29,29,0,7.77390003204,29,29,3772425006.56
"('63',)",3.49872994423,29,13,1026.74160881,29,13,14,3779218469.04,3779218539.24,3772425006.62,44.63218,-124.30797,0.0,internal_timestamp,69.3600006104,29,29,1563436206.62,33.8717002869,29,29,0,7.77430009842,29,29,3772425006.62
"('64',)",3.49874997139,29,13,1026.74196091,29,13,14,3779218469.04,3779218539.24,3772425006.68,44.63218,-124.30797,0.0,internal_timestamp,69.3649978638,29,29,1563436206.68,33.8721008301,29,29,0,7.77419996262,29,29,3772425006.68
"('65',)",3.49876999855,29,13,1026.74230926,29,13,14,3779218469.04,3779218539.24,3772425006.74,44.63218,-124.30797,0.0,internal_timestamp,69.3659973145,29,29,1563436206.74,33.8725013733,29,29,0,7.77400016785,29,29,3772425006.74
"('66',)",3.49878001213,29,13,1026.74251271,29,13,14,3779218469.04,3779218539.24,3772425006.81,44.63218,-124.30797,0.0,internal_timestamp,69.3700027466,29,29,1563436206.81,33.8726997375,29,29,0,7.77379989624,29,29,3772425006.81
"('67',)",3.49878001213,29,13,1026.74250723,29,13,14,3779218469.04,3779218539.24,3772425006.87,44.63218,-124.30797,0.0,internal_timestamp,69.3720016479,29,29,1563436206.87,33.8726997375,29,29,0,7.77390003204,29,29,3772425006.87
"('68',)",3.49878001213,29,13,1026.74225971,29,13,14,3779218469.04,3779218539.24,3772425006.93,44.63218,-124.30797,0.0,internal_timestamp,69.3759994507,29,29,1563436206.93,33.8723983765,29,29,0,7.77409982681,29,29,3772425006.93
"('69',)",3.49879002571,29,13,1026.74215622,29,13,14,3779218469.04,3779218539.24,3772425007.0,44.63218,-124.30797,0.0,internal_timestamp,69.3799972534,29,29,1563436207.0,33.8722991943,29,29,0,7.77440023422,29,29,3772425007.0
"('70',)",3.49880003929,29,13,1026.74213705,29,13,14,3779218469.04,3779218539.24,3772425007.06,44.63218,-124.30797,0.0,internal_timestamp,69.3789978027,29,29,1563436207.06,33.8722991943,29,29,0,7.77449989319,29,29,3772425007.06
"('71',)",3.49881005287,29,13,1026.74231956,29,13,14,3779218469.04,3779218539.24,3772425007.12,44.63218,-124.30797,0.0,internal_timestamp,69.3809967041,29,29,1563436207.12,33.8725013733,29,29,0,7.77440023422,29,29,3772425007.12
"('72',)",3.49882006645,29,13,1026.7426009,29,13,14,3779218469.04,3779218539.44,3772425007.18,44.63218,-124.30797,0.0,internal_timestamp,69.3850021362,29,29,1563436207.18,33.8727989197,29,29,0,7.77419996262,29,29,3772425007.18
"('73',)",3.49881005287,29,13,1026.74272178,29,13,14,3779218469.04,3779218539.44,3772425007.24,44.63218,-124.30797,0.0,internal_timestamp,69.3880004883,29,29,1563436207.24,33.8728981018,29,29,0,7.77400016785,29,29,3772425007.24
"('74',)",3.49880003929,29,13,1026.74283196,29,13,14,3779218469.04,3779218539.44,3772425007.31,44.63218,-124.30797,0.0,internal_timestamp,69.3880004883,29,29,1563436207.31,33.8730010986,29,29,0,7.77379989624,29,29,3772425007.31
"('75',)",3.49878001213,29,13,1026.74277942,29,13,14,3779218469.04,3779218539.44,3772425007.37,44.63218,-124.30797,0.0,internal_timestamp,69.3909988403,29,29,1563436207.37,33.8728981018,29,29,0,7.77370023727,29,29,3772425007.37
"('76',)",3.49875998497,29,13,1026.74257334,29,13,14,3779218469.04,3779218539.44,3772425007.43,44.63218,-124.30797,0.0,internal_timestamp,69.3970031738,29,29,1563436207.43,33.8726005554,29,29,0,7.77370023727,29,29,3772425007.43
"('77',)",3.49873995781,29,13,1026.74215999,29,13,14,3779218469.04,3779218539.44,3772425007.49,44.63218,-124.30797,0.0,internal_timestamp,69.4020004272,29,29,1563436207.49,33.8721008301,29,29,0,7.77400016785,29,29,3772425007.49
"('78',)",3.49871993065,29,13,1026.74152654,29,13,14,3779218469.04,3779218539.44,3772425007.56,44.63218,-124.30797,0.0,internal_timestamp,69.4000015259,29,29,1563436207.56,33.8713989258,29,29,0,7.77449989319,29,29,3772425007.56
"('79',)",3.49870991707,29,13,1026.74080265,29,13,14,3779218469.04,3779218539.44,3772425007.62,44.63218,-124.30797,0.0,internal_timestamp,69.4010009766,29,29,1563436207.62,33.8706016541,29,29,0,7.77519989014,29,29,3772425007.62
"('80',)",3.49868988991,29,13,1026.74000532,29,13,14,3779218469.04,3779218539.44,3772425007.68,44.63218,-124.30797,0.0,internal_timestamp,69.4100036621,29,29,1563436207.68,33.8697013855,29,29,0,7.77610015869,29,29,3772425007.68
